RENEWABLE_perc,NUCLEAR,HYDRO_perc,STORAGE,IMPORTS_perc,SOLAR_perc,LOW_CARBON,BIOMASS_perc,HYDRO,STORAGE_perc,WIND_EMB,WIND_perc,IMPORTS,LOW_CARBON_perc,GAS,COAL_perc,CARBON_INTENSITY,COAL,FOSSIL,ZERO_CARBON_perc,FOSSIL_perc,GENERATION_perc,GENERATION,DATETIME,OTHER,NUCLEAR_perc,ZERO_CARBON,WIND_EMB_perc,BIOMASS,GAS_perc,OTHER_perc,WIND,SOLAR,RENEWABLE
53.8,4092.0,1.1,0,8.5,0.0,24120.0,5.1,377,0.0,4171.0,40.4,2906.0,70.8,6470.0,0.0,94.0,0.0,6470.0,74.0,19.0,100.0,34045.0,2026-01-01T00:00:00,549.0,12.0,19949.0,12.3,1724.0,19.0,1.6,13756.0,0.0,18304.0
53.2,4092.0,1.1,0,8.3,0.0,24324.0,5.0,375,0.0,4254.0,39.9,2890.0,69.9,6853.0,0.0,98.0,0.0,6853.0,72.6,19.7,100.0,34783.0,2026-01-01T00:30:00,716.0,11.8,20070.0,12.2,1730.0,19.7,2.1,13873.0,0.0,18502.0
53.4,4126.0,1.0,0,8.1,0.0,24726.0,5.3,364,0.0,4332.0,40.0,2848.0,70.4,6827.0,0.0,99.0,0.0,6827.0,73.0,19.4,100.0,35104.0,2026-01-01T01:00:00,703.0,11.8,20394.0,12.3,1868.0,19.4,2.0,14036.0,0.0,18732.0
54.2,4168.0,1.0,0,8.1,0.0,24741.0,5.1,345,0.0,4382.0,40.6,2820.0,71.3,6526.0,0.0,96.0,0.0,6526.0,74.0,18.8,100.0,34711.0,2026-01-01T01:30:00,624.0,12.0,20359.0,12.6,1769.0,18.8,1.8,14077.0,0.0,18804.0
56.0,4199.0,0.8,0,7.4,0.0,24779.0,5.1,284,0.0,4390.0,42.1,2490.0,73.6,6046.0,0.0,87.0,0.0,6046.0,76.1,18.0,100.0,33662.0,2026-01-01T02:00:00,347.0,12.5,20389.0,13.0,1721.0,18.0,1.0,14185.0,0.0,18859.0
57.2,4212.0,0.8,0,7.3,0.0,25049.0,4.9,275,0.0,4353.0,43.4,2434.0,74.6,5906.0,0.0,83.0,0.0,5906.0,77.3,17.6,100.0,33557.0,2026-01-01T02:30:00,168.0,12.6,20696.0,13.0,1634.0,17.6,0.5,14575.0,0.0,19203.0
59.6,4211.0,0.7,0,5.6,0.0,25126.0,4.3,244,0.0,4312.0,45.7,1840.0,76.8,5414.0,0.0,78.0,0.0,5414.0,78.4,16.6,100.0,32700.0,2026-01-01T03:00:00,320.0,12.9,20814.0,13.2,1417.0,16.6,1.0,14942.0,0.0,19498.0
60.8,4210.0,0.7,0,5.5,0.0,25437.0,4.3,242,0.0,4305.0,46.9,1790.0,78.1,5132.0,0.0,74.0,0.0,5132.0,79.9,15.8,100.0,32558.0,2026-01-01T03:30:00,199.0,12.9,21132.0,13.2,1416.0,15.8,0.6,15264.0,0.0,19811.0
61.3,4206.0,0.7,0,5.5,0.0,25458.0,4.4,225,0.0,4300.0,47.3,1792.0,78.7,4892.0,0.0,74.0,0.0,4892.0,80.6,15.1,100.0,32356.0,2026-01-01T04:00:00,214.0,13.0,21158.0,13.3,1424.0,15.1,0.7,15303.0,0.0,19828.0
61.8,4208.0,0.7,0,5.5,0.0,25526.0,4.4,224,0.0,4267.0,47.8,1776.0,79.3,4682.0,0.0,71.0,0.0,4682.0,81.3,14.6,100.0,32176.0,2026-01-01T04:30:00,192.0,13.1,21259.0,13.3,1431.0,14.6,0.6,15396.0,0.0,19887.0
62.1,4210.0,0.7,0,5.4,0.0,25468.0,4.2,223,0.0,4248.0,48.1,1726.0,79.4,4544.0,0.0,68.0,0.0,4544.0,81.3,14.2,100.0,32081.0,2026-01-01T05:00:00,343.0,13.1,21220.0,13.2,1345.0,14.2,1.1,15442.0,0.0,19913.0
62.3,4202.0,0.7,0,5.4,0.0,25207.0,3.6,224,0.0,4282.0,48.1,1728.0,79.0,4118.0,0.0,67.0,0.0,4118.0,80.8,12.9,100.0,31907.0,2026-01-01T05:30:00,854.0,13.2,20925.0,13.4,1136.0,12.9,2.7,15363.0,0.0,19869.0
62.7,4211.0,0.7,0,5.5,0.0,25275.0,3.6,234,0.0,4325.0,48.3,1762.0,79.5,4012.0,0.0,65.0,0.0,4012.0,81.5,12.6,100.0,31789.0,2026-01-01T06:00:00,740.0,13.2,20950.0,13.6,1142.0,12.6,2.3,15363.0,0.0,19922.0
61.9,4206.0,0.7,0,6.5,0.0,25353.0,3.5,235,0.0,4329.0,47.8,2092.0,78.4,4237.0,0.0,72.0,0.0,4237.0,81.2,13.1,100.0,32320.0,2026-01-01T06:30:00,638.0,13.0,21024.0,13.4,1138.0,13.1,2.0,15445.0,0.0,20009.0
